Sheet Name,Included,Different,Missing
Banners,"B route; header mapping; template output; source archive; local source deletion; visibility; Index and timing updates","Uses the modular governed-sheet factory","No material v1.8.9.3 sheet-processing step identified"
CP Due,"CD route; header mapping; title information; template output; valid source dates from C3 and E3; prompted-month fallback for invalid values; source archive; local source deletion; visibility; Index and timing updates","Uses the prompted month only as a per-value fallback when a source date is invalid","No requested CP Due processing is missing"
Unlock CP,"UC route; header mapping; title information; template output; valid source dates from E2 and G2; prompted-month fallback for invalid values; source archive; local source deletion; visibility; Index and timing updates","Uses the prompted month only as a per-value fallback when a source date is invalid","No requested Unlock CP processing is missing"
Raw Data,"RD route; governed header mapping; source-only header/value preservation; post-write preservation verification; Primary PMR Row assignment; Banner-field synchronization; formatted output; visibility; Index and timing updates","Creates a new Raw Data output and renames/hides the original as Source - Raw Data instead of formatting the RD import in place","In-place Raw Data lifecycle used by v1.8.9.3"
Source - Banners,"External archive copy of the Banner import before local deletion","Archive naming and helper implementation differ","No material v1.8.9.3 archive step identified"
Source - CP Due,"External archive copy of the CP Due import before local deletion","Archive naming and helper implementation differ","No material v1.8.9.3 archive step identified"
Source - Unlock CP,"External archive copy of the Unlock CP import before local deletion","Archive naming and helper implementation differ","No material v1.8.9.3 archive step identified"
Source - Raw Data,"Original RD import is preserved and hidden","This is a separate preserved source; v1.8.9.3 formats RD in place and does not create this source/output split","In-place Raw Data lifecycle used by v1.8.9.3"
Refined Data,"Build from Raw Data; participant names; v1.8.9.3 four-slot phone processing; combined address; language; dedicated Notes combination; Banner Summary; contacts; tracking fields; PMR flattening","Monthly merge remains independent of Monthly Change","Complete changed-PMR replacement; all-field updates for existing PMRs; replacement-coverage validation"
Archive - Refined Data,"Archives selected existing Refined Data rows before replacement","Only rows changed in five address fields are archived","Archive of every Monthly Change-driven replaced participant row; reason; workflow; month; source metadata"
Disenrolled Exclusion,"Reads Refined Data; retains history; inserts new rows at row 5; targeted re-enrollment purge; explicit copy/remove coverage assertion; removes covered disenrollments from Refined Data; hides old rows","No requested history-retention behavior differs","No requested Disenrolled Exclusion processing is missing"
Monthly Change,"Reads current and previous Raw Data; compares by PMR; creates governed section output; supports enrollment; disenrollment; demographic; caseload; contact; other and configured level-of-care sections","Uses prior-calendar-month disenrollment logic; always creates a report; ignores Preferred Name and Date of Birth in generic deltas; one-row-per-PMR comparison","Explicit Banner Summary Changes route; changed-column tracking and cell highlighting; no-change report suppression"
Master List,"Uses Refined Data plus CP Due and Unlock CP enrichment; maps governed columns; creates monthly output; formats; trims; refreshes Index","Uses approved generic governance replacement and one-row-per-PMR Refined Data input","No requested Master List processing is missing"
Index,"Final refresh in Format Monthly Sheets; Create Monthly Start; and Create Monthly Update","The governed factory may perform additional per-output refreshes","No material v1.8.9.3 Index-processing step identified"
Framework Timing Report,"Timed wrappers and step logging for all three monthly workflows","Step names and nested timing boundaries differ","No material v1.8.9.3 timing area identified"
